"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"TO-220-3_Vertical";1;"LM317";;;
2;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100";;;
3;"J1";"BarrelJack_Wuerth_6941xx301002";1;"Barrel_Jack";;;
4;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"330";;;
5;"NEO-M8N1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn-1x4";;;
6;"Bridge1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"0";;;
7;"Debug1";"PinHeader_1x03_P2.54mm_Vertical";1;"conn_1x3";;;
8;"U4";"nRF24L01_Breakout";1;"NRF24L01_Breakout";;;
9;"Bridge4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal";1;"0";;;
10;"U1";"TO-220-3_Vertical";1;"L7805";;;
11;"Bridge3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical";1;"0";;;
12;"R2,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"200";;;
13;"C1,C3";"CP_Radial_D5.0mm_P2.50mm";2;"100nF";;;
14;"D2";"LED_D5.0mm";1;"LED";;;
15;"MPU9250";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_1x8";;;
16;"C2";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"10nf";;;
17;"UltrasonicSensor1";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";1;"JST-4P";;;
18;"Motor1,Motor2";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";2;"JST-2P";;;
19;"D1";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"1N5817";;;
20;"U2";"TO-220-15_P2.54x2.54mm_StaggerOdd_Lead4.58mm_Vertical";1;"L298N";;;
21;"STC8H8K64U1";"DIP-28_W7.62mm_LongPads";1;"SKDIP28";;;
